Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Precio por defecto,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Disponibles para la venta [Master burger],Precio [Master burger],En inventario [Master burger],Existencias bajas [Master burger],"modificador - ""Extras""","modificador - ""Queso""","modificador - ""Bebidas""","modificador - ""Descuento""","modificador - ""Promos""","modificador - ""Hamburguesas""","modificador - ""Cervezas""","modificador - ""Chilaquiles""","modificador - ""extras combo""","modificador - ""alas kilos""","modificador - ""charolas especiales""","modificador - ""bubbles""","modificador - ""Jarabe""","modificador - ""miches""","modificador - ""als y bon""","modificador - ""CREPAS""","modificador - ""EXTRA ANGUS""","modificador - ""papas promo""","modificador - ""Extras almuerzos""","modificador - ""ACOMPAÑANTES""","modificador - ""POSTRES""","modificador - ""PROTEINAS CARNE""","modificador - ""PROTEINAS POLLO""","modificador - ""COSTILLAS"""
adorno,10545,Adorno,Charolas,,N,,,,,,,variable,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
agua-1.5,10458,Agua 1.5,Refrescos,,N,,,,,,,35.00,0.00,,,,N,Y,35.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
agua-caliente,10302,Agua caliente,Refrescos,,N,,,,,,,10.00,0.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
agua-natural,10079,Agua Embotellada,Refrescos,,N,,,,,,,30.00,10.00,,,,Y,Y,30.00,-95.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
agua-mineral,10182,Agua mineral,Refrescos,,N,,,,,,,35.00,0.00,,,,Y,Y,35.00,-110.000,15.000,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
agua-litro,10096,Agua sabor,Bebidas,,N,sabor,horchata,tamaño,1/2L,,,25.00,0.00,,,,N,Y,25.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
agua-litro,10173,,,,,,horchata,,1L,,,40.00,0.00,,,,,Y,40.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
agua-litro,10175,,,,,,jamaica,,1/2L,,,25.00,0.00,,,,,Y,25.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
agua-litro,10300,,,,,,jamaica,,1L,,,40.00,0.00,,,,,Y,40.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
agua-litro,10537,,,,,,tamarindo,,1/2L,,,25.00,0.00,,,,,Y,25.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
agua-litro,10538,,,,,,tamarindo,,1L,,,40.00,0.00,,,,,Y,40.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
agua-sabor,10254,Agua sabor,Refrescos,,Y,,,,,,,40.00,0.00,,,,N,Y,40.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
alambre-mixto,10320,Alambre Mixto,Charolas navideñas,,Y,,,,,,,360.00,0.00,,,,N,Y,360.00,,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
alambres,10575,Alambres,Especiales,,N,sabor,arrachera,,,,,160.00,0.00,,,,N,Y,160.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
alambres,10581,,,,,,bisteck,,,,,160.00,0.00,,,,,Y,160.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
alambres,10577,,,,,,mixto res y cerdo,,,,,140.00,0.00,,,,,Y,140.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
alambres,10576,,,,,,pollo,,,,,135.00,0.00,,,,,Y,135.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
alas-stock-1,101061,alas stock,,,Y,,,,,,,variable,0.00,,,,Y,N,variable,120.700,20.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
alitas,10166,ALITAS,Alitas y Boneless,,N,Sabores,ajo parmesano,,,,,110.00,48.00,,,,N,Y,110.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
alitas,10147,,,,,,bbq,,,,,105.00,48.00,,,,,Y,105.00,,,,,,,,,,,,,,,,,,,,,,,,,,
alitas,10156,,,,,,buffalo,,,,,105.00,48.00,,,,,Y,105.00,,,,,,,,,,,,,,,,,,,,,,,,,,
alitas,10158,,,,,,buffranch,,,,,105.00,48.00,,,,,Y,105.00,,,,,,,,,,,,,,,,,,,,,,,,,,
alitas,10170,,,,,,combinadas,,,,,110.00,48.00,,,,,Y,110.00,,,,,,,,,,,,,,,,,,,,,,,,,,
alitas,10172,,,,,,lemmon pepper,,,,,110.00,48.00,,,,,Y,110.00,,,,,,,,,,,,,,,,,,,,,,,,,,
alitas,10163,,,,,,mango habanero,,,,,110.00,48.00,,,,,Y,110.00,,,,,,,,,,,,,,,,,,,,,,,,,,
alitas,10178,,,,,,teriyaki,,,,,105.00,48.00,,,,,Y,105.00,,,,,,,,,,,,,,,,,,,,,,,,,,
alitas-c-papas,10556,Alitas c papas,,,N,,,,,,,130.00,0.00,,,,N,Y,130.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1-kg-alitas-1,10307,Alitas kg,Alitas y Boneless,,Y,,,,,,,220.00,72.00,,,,Y,Y,220.00,-1537.830,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
apio-o-zanahoria,10345,Apio o zanahoria,Extras,,N,,,,,,,15.00,0.00,,,,N,Y,15.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
aros-cebolla,10160,Aros cebolla,Extras,,N,,,,,,,95.00,0.00,,,,Y,Y,95.00,-78.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
aros-de-cebolla-10pz,10368,Aros de cebolla 10pz,Charolas navideñas,,N,,,,,,,100.00,0.00,,,,N,Y,100.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
arrachera-monterrey,10313,Arrachera monterrey,Charolas navideñas,,Y,,,,,,,500.00,0.00,,,,N,Y,500.00,,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
arroz-chino,10439,Arroz chino,Sushi,,N,,,,,,,80.00,0.00,,,,N,Y,80.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
arroz-frito,10151,ARROZ FRITO,Charolas navideñas,,N,PESO,1/2 LITRO,,,,,60.00,0.00,,,,N,Y,60.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
arroz-frito,10155,,,,,,1LITRO,,,,,120.00,0.00,,,,,Y,120.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
arroz-plato,10470,Arroz plato,,,N,,,,,,,30.00,0.00,,,,N,Y,30.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
baguett-1,10246,Baguett,Almuerzos,,N,,,,,,,80.00,0.00,,,,N,Y,80.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
bbq-extra,10135,Bbq extra,Extras,,N,,,,,,,10.00,0.05,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
bebidas-calientes,10517,Bebidas calientes,Bebidas,,N,sabor,cafe americano,,,,,25.00,0.00,,,,N,Y,25.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
bebidas-calientes,10518,,,,,,cafe capuchino,,,,,25.00,0.00,,,,,Y,25.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
bebidas-calientes,10519,,,,,,cafe con leche,,,,,25.00,0.00,,,,,Y,25.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
bebidas-calientes,10536,,,,,,cafe de olla,,,,,25.00,0.00,,,,,Y,25.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
bebidas-calientes,10521,,,,,,ponche,,,,,25.00,0.00,,,,,Y,25.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
bebidas-calientes,10520,,,,,,te,,,,,25.00,0.00,,,,,Y,25.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
berry-smothie,10486,Berry smothie,Bebidas,,N,,,,,,,65.00,0.00,,,,N,Y,65.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
birria,10488,Birria,Almuerzos,,N,tamaño,1 litro,,,,,150.00,0.00,,,,N,Y,150.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
birria,10239,,,,,,1/2litro,,,,,80.00,0.00,,,,,Y,80.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
birria,10498,,,,,,consome,,,,,35.00,0.00,,,,,Y,35.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
birria,10497,,,,,,plato,,,,,100.00,0.00,,,,,Y,100.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
birria-1,10472,Birria,,,N,,,,,,,45.00,0.00,,,,N,Y,45.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
birriamen,10513,Birriamen,Almuerzos,,N,,,,,,,100.00,100.00,,,,N,Y,100.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
boing-mini,10185,BOING CAJA,Refrescos,,N,SABORES CAJA,DURAZNO,,,,,35.00,0.00,,,,Y,Y,35.00,1.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
boing-mini,10181,,,,,,GUAYABA,,,,,35.00,0.00,,,,,Y,35.00,-13.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
boing-mini,10101,,,,,,MANGO,,,,,35.00,0.00,,,,,Y,35.00,-40.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
boing-mini,10188,,,,,,MANZANA,,,,,35.00,0.00,,,,,Y,35.00,-11.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
boing-mini,10180,,,,,,UVA,,,,,35.00,0.00,,,,,Y,35.00,-7.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
boing-mango,10179,BOING VIDRIO,Refrescos,,N,SABORES VIDRIO,FRESA,,,,,35.00,13.00,,,,Y,Y,35.00,-1.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
boing-mango,10149,,,,,,GUAYABA,,,,,35.00,13.00,,,,,Y,35.00,-121.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
boing-mango,10136,,,,,,MANGO,,,,,35.00,13.00,,,,,Y,35.00,-583.000,30.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
boing-mango,10165,,,,,,TAMARINDO,,,,,35.00,13.00,,,,,Y,35.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
boing-mango,10159,,,,,,UVA,,,,,35.00,13.00,,,,,Y,35.00,-5.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
boneless,10029,BONELESS,Alitas y Boneless,,N,SABORES,AJO PARMESANO,,,,,110.00,48.00,,,,N,Y,110.00,,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
boneless,10008,,,,,,BBQ,,,,,105.00,48.00,,,,,Y,105.00,,,,,,,,,,,,,,,,,,,,,,,,,,
boneless,10013,,,,,,BUFFALO,,,,,105.00,48.00,,,,,Y,105.00,,,,,,,,,,,,,,,,,,,,,,,,,,
boneless,10011,,,,,,BUFFRANCH,,,,,110.00,48.00,,,,,Y,110.00,,,,,,,,,,,,,,,,,,,,,,,,,,
boneless,10106,,,,,,COMBINADOS,,,,,110.00,48.00,,,,,Y,110.00,,,,,,,,,,,,,,,,,,,,,,,,,,
boneless,10142,,,,,,ESPECIALES,,,,,115.00,48.00,,,,,Y,115.00,,,,,,,,,,,,,,,,,,,,,,,,,,
boneless,10030,,,,,,LEMMON PEPPER,,,,,110.00,48.00,,,,,Y,110.00,,,,,,,,,,,,,,,,,,,,,,,,,,
boneless,10028,,,,,,MANGO HABANERO,,,,,110.00,48.00,,,,,Y,110.00,,,,,,,,,,,,,,,,,,,,,,,,,,
boneless,10000,,,,,,NATURALES,,,,,100.00,48.00,,,,,Y,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,
boneless,10103,,,,,,TERIYAKI,,,,,110.00,48.00,,,,,Y,110.00,,,,,,,,,,,,,,,,,,,,,,,,,,
1-kg-boneles,10232,BONELESS KG,Alitas y Boneless,,Y,,,,,,,320.00,157.00,,,,N,Y,320.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
bowl-de-fruta,10225,Bowl de fruta,Almuerzos,,N,,,,,,,45.00,0.00,,,,N,Y,45.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
buchanans-shot,10551,Buchanans shot,Drinks,,N,,,,,,,90.00,0.00,,,,N,Y,90.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
burger-chicken-tender,10004,Burger kfc,HAMBURGUESAS,,N,piña,10,papas,20,bbq,0,85.00,50.00,,,,N,Y,85.00,,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
burger-res,10001,Burger res,HAMBURGUESAS,,N,piña,$ 10,papas,$ 20,,,70.00,45.00,,,,N,Y,70.00,,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
burrito-de-alambre-c-papas,10372,Burrito de alambre c papas,,,N,,,,,,,100.00,0.00,,,,N,Y,100.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
burrito-alambre,10033,Burritos,Burritos y Gringas,,N,sabor,alambre,,,,,135.00,60.00,,,,Y,Y,135.00,-44.000,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
burrito-alambre,10117,,,,,,alambre pollo,,,,,135.00,60.00,,,,,Y,135.00,-2.000,,,,,,,,,,,,,,,,,,,,,,,,,
burrito-alambre,10014,,,,,,arrachera,,,,,145.00,60.00,,,,,Y,145.00,373.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,
burrito-alambre,10015,,,,,,bisteck res,,,,,145.00,60.00,,,,,Y,145.00,-138.000,,,,,,,,,,,,,,,,,,,,,,,,,
burrito-alambre,10032,,,,,,campechano,,,,,135.00,60.00,,,,,Y,135.00,-206.000,,,,,,,,,,,,,,,,,,,,,,,,,
burrito-alambre,10031,,,,,,chuleta,,,,,135.00,60.00,,,,,Y,135.00,-39.000,,,,,,,,,,,,,,,,,,,,,,,,,
burrito-alambre,10035,,,,,,frijoles c chorizo,,,,,105.00,60.00,,,,,Y,105.00,-41.000,,,,,,,,,,,,,,,,,,,,,,,,,
burrito-alambre,10034,,,,,,pastor,,,,,135.00,60.00,,,,,Y,135.00,-74.000,,,,,,,,,,,,,,,,,,,,,,,,,
burrito-alambre,10114,,,,,,suadero,,,,,145.00,60.00,,,,,Y,145.00,-5.000,,,,,,,,,,,,,,,,,,,,,,,,,
caballito-de-tequila,10514,Caballito de tequila,Drinks,,N,,,,,,,75.00,0.00,,,,N,Y,75.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cabeza,10093,Cabeza,Tacos,,N,Tacos,30,Torta,35,,,variable,0.00,,,,N,N,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
café-nescafe,10540,Café nescafe,Bebidas,,N,,,,,,,25.00,0.00,,,,N,Y,25.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
caguama,10157,Caguama,Drinks,,N,,,,,,,70.00,0.00,,,,Y,Y,70.00,-152.000,5.000,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
caldo-camarones,10437,Caldo camarones,,,N,,,,,,,180.00,0.00,,,,N,Y,180.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
caldo-de-pollo,10292,Caldo de pollo,Almuerzos,,N,Mediano,Ala,,,,,40.00,0.00,,,,N,Y,40.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
caldo-de-pollo,10263,,,,,,Mollejas,,,,,35.00,0.00,,,,,Y,35.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
caldo-de-pollo,10259,,,,,,Muslo,,,,,55.00,0.00,,,,,Y,55.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
caldo-de-pollo,10265,,,,,,Pata,,,,,35.00,0.00,,,,,Y,35.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
caldo-de-pollo,10262,,,,,,Pierna,,,,,55.00,0.00,,,,,Y,55.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
california,10139fo,California,Sushi,,N,,,,,,,70.00,70.00,,,,N,Y,70.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
camarones,10428,Camarones,Mariscos,,N,camarones,A la diabla,,,,,170.00,0.00,,,,N,Y,170.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
camarones,10431,,,,,,Al coco,,,,,170.00,0.00,,,,,Y,170.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
camarones,10429,,,,,,Al mojo de ajo,,,,,170.00,0.00,,,,,Y,170.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
camarones,10430,,,,,,Panko,,,,,170.00,0.00,,,,,Y,170.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
camarones-panko,10346,Camarones panko,Alitas y Boneless,,N,,,,,,,190.00,0.00,,,,N,Y,190.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
camarones-panko-1,10334,Camarones panko,Charolas navideñas,<p>8pz</p>,N,,,,,,,200.00,0.00,,,,N,Y,200.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cantarito-1lt,10319,Cantarito 1lt,Drinks,,N,,,,,,,120.00,0.00,,,,N,Y,120.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cantarito,10047,Cantarito c/ tequila,Drinks,,N,,,,,,,60.00,0.00,,,,Y,Y,60.00,721.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cantarito-sin-alcohol,10275,Cantarito sin alcohol,Drinks,,N,,,,,,,40.00,0.00,,,,N,Y,40.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
carga-cel,10559,Carga cel,,,N,,,,,,,10.00,0.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
caribe,10054,Caribe,Drinks,,N,,,,,,,35.00,0.00,,,,N,Y,35.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
caribe-preparada-1,10253,Caribe preparada,Drinks,,N,,,,,,,70.00,0.00,,,,N,Y,70.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
carne-apache,10281,Carne apache,Extras,,Y,,,,,,,190.00,0.00,,,,N,Y,190.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
carne-extra-angus-150,10217,Carne extra angus 150,HAMBURGUESAS,,N,,,,,,,40.00,0.00,,,,N,Y,40.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
carne-res-hamburguesa,10189,CARNE RES HAMBURGUESA,Inventario máster burger,,N,,,,,,,14.00,0.00,,,,Y,N,14.00,120.000,30.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cebollas-asadas-6pz,10267,Cebollas asadas 6pz,Tacos,,N,,,,,,,25.00,0.00,,,,N,Y,25.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cebollas-cambray-10pz,10365,Cebollas cambray 10pz,Charolas navideñas,,N,,,,,,,50.00,0.00,,,,N,Y,50.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cecina-asada,10306,Cecina asada,Especiales,,N,,,,,,,120.00,0.00,,,,N,Y,120.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cerrillo,10245,Cerrillo,Envios,,N,,,,,,,variable,70.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cerveza-chica,10411,Cerveza chica,,,N,,,,,,,35.00,0.00,,,,N,Y,35.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cerveza-sol-clamato,10248,Cerveza sol clamato,Drinks,,N,,,,,,,40.00,0.00,,,,N,Y,40.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
ceviche,10438,Ceviche,Mariscos,,N,,,,,,,90.00,0.00,,,,N,Y,90.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
champiñones-empanizados,10255,Champiñones empanizados,Alitas y Boneless,,N,,,,,,,65.00,0.00,,,,N,Y,65.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charola,10333,Charola,Sueltos,,N,,,,,,,5.00,0.00,,,,N,Y,5.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charola-2px,10508,Charola 2px,Charolas navideñas,,N,,,,,,,500.00,0.00,,,,N,Y,500.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
